Classifier	Features Combination	Test Sets Error	Train Sets Error	AUC	F1 Score	Counter
0	[0, 4, 3, 2, 1]	0.004029850746268657	0.0015250000000000003	0.9999419642857142	0.9958121184371186	ESCC 139, EAC 128
1	[0, 4, 1, 3, 2]	0.007835820895522387	0.004925	0.9999375	0.9917965888278388	ESCC 139, EAC 128
0	[0, 4, 3, 1]	0.005298507462686567	0.001025	0.9999151785714285	0.9944923305860806	ESCC 139, EAC 128
1	[0, 4, 1, 2]	0.009402985074626865	0.0036749999999999994	0.9998839285714286	0.9901339196766716	ESCC 139, EAC 128
0	[0, 4, 1]	0.006119402985074626	0.0017250000000000002	0.9998794642857143	0.9936019462168656	ESCC 139, EAC 128
1	[0, 4, 1, 3]	0.0076865671641791035	0.006174999999999999	0.9998526785714285	0.9919523113535211	ESCC 139, EAC 128
1	[0, 4, 1]	0.008059701492537312	0.004	0.9998348214285714	0.991570069205857	ESCC 139, EAC 128
0	[0, 4, 2, 1]	0.009104477611940298	0.00345	0.9997410714285715	0.9904765609614401	ESCC 139, EAC 128
5	[0, 4, 1]	0.011417910447761193	0.007575000000000001	0.9996205357142859	0.9879294047126709	ESCC 139, EAC 128
6	[0, 4, 1]	0.016641791044776116	0.012650000000000002	0.9995647321428572	0.982073411185075	ESCC 139, EAC 128
2	[0, 4, 1]	0.027835820895522386	0.023024999999999997	0.9983616071428572	0.9701782290246517	ESCC 139, EAC 128
5	[0, 4, 3, 2, 1]	0.014029850746268654	0.0089	0.9982075892857142	0.9851259693386936	ESCC 139, EAC 128
2	[0, 4, 3, 1, 2]	0.020746268656716412	0.01455	0.9980312499999999	0.9781003100763815	ESCC 139, EAC 128
6	[0, 4, 2, 1]	0.024104477611940293	0.019374999999999996	0.9980312499999999	0.9740215411459923	ESCC 139, EAC 128
2	[0, 4, 1, 2]	0.02664179104477611	0.019875	0.9980133928571427	0.9716076516950524	ESCC 139, EAC 128
6	[0, 4, 3, 1]	0.02320895522388059	0.0165	0.9978258928571428	0.9752034954675488	ESCC 139, EAC 128
5	[0, 4, 3, 1]	0.020298507462686563	0.0102	0.9978191964285714	0.9784176333528742	ESCC 139, EAC 128
